fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,11,12,total_pts,ppm
154561,ARS,Raya,G,4.5,4.29,5.01,3.51,7.77,6.7,6.57,4.65,7.01,4.43,7.66,4.84,7.07,69.5,15.44
444102,BOU,Evanilson,F,3.5,4.8,9.13,5.88,7.87,5.5,5.5,5.41,4.86,5.39,4.35,4.87,5.91,69.48,19.85
451340,BHA,Mitoma,M,4.0,5.54,9.98,4.75,8.66,5.85,4.39,5.0,4.95,4.68,5.41,4.59,5.39,69.18,17.29
475168,CHE,João Pedro,F,4.5,4.82,4.25,3.99,7.68,5.86,7.64,3.52,7.1,5.01,7.6,4.2,7.45,69.11,15.36
430871,MUN,Cunha,F,5.0,4.39,9.88,6.12,8.15,4.72,5.15,6.35,4.14,5.03,4.67,5.31,4.77,68.69,13.74
199796,AVL,Cash,D,3.5,4.01,3.67,4.08,4.29,8.94,6.82,8.89,7.25,3.16,6.13,3.8,7.55,68.57,19.59
437730,BOU,Semenyo,M,4.5,4.62,10.3,5.43,8.91,5.0,5.1,5.04,4.72,4.99,4.19,4.56,5.52,68.36,15.19
247412,WOL,Strand Larsen,F,3.5,4.97,7.78,5.26,6.8,5.61,5.26,5.22,6.1,5.98,4.62,4.3,4.98,66.87,19.1
199798,AVL,Konsa,D,4.0,3.7,3.36,3.87,4.16,8.5,6.82,8.76,6.91,2.94,5.83,3.9,7.61,66.36,16.59
437499,CRY,Lacroix,D,3.5,3.05,4.51,3.51,5.74,7.03,7.24,7.24,6.91,2.81,6.97,4.0,7.09,66.09,18.88
544877,LIV,Kerkez,D,5.0,4.39,3.56,3.55,8.31,8.52,6.87,3.08,7.2,3.49,7.01,2.86,7.24,66.09,13.22
499169,ARS,Lewis-Skelly,D,4.0,4.27,4.8,3.0,7.55,6.68,6.36,4.17,6.93,3.65,7.21,4.35,7.0,65.98,16.5
220566,MCI,Rodrigo,M,5.0,0.0,1.21,2.2,7.51,7.67,9.29,4.33,8.57,4.13,8.39,4.07,8.25,65.63,13.13
209036,CRY,Guéhi,D,4.0,2.98,4.64,3.52,5.96,6.89,7.38,7.15,6.78,2.8,6.62,4.02,6.8,65.54,16.39
204716,LIV,Konaté,D,5.0,4.24,3.42,3.48,8.0,8.54,6.71,2.97,7.27,3.47,7.14,2.77,7.27,65.28,13.06
445122,ARS,J.Timber,D,5.0,2.29,3.9,2.68,7.23,7.17,6.82,4.31,6.91,3.84,7.78,4.77,7.39,65.09,13.02
119471,NEW,Schär,D,4.0,3.91,3.35,4.62,7.55,7.91,6.11,4.55,6.17,4.37,6.87,3.65,5.96,65.04,16.26
227444,NFO,Milenković,D,4.0,3.99,3.19,4.44,2.59,8.52,7.75,6.52,6.85,3.1,7.49,4.51,5.69,64.64,16.16
221632,TOT,Romero,D,3.5,5.9,2.5,3.96,7.23,5.79,7.79,4.25,7.0,4.04,6.29,4.03,5.54,64.32,18.38
244723,CRY,Mitchell,D,4.0,3.05,4.37,3.58,5.57,6.62,7.04,6.86,6.6,2.96,6.63,4.09,6.91,64.29,16.07
215379,NFO,Anderson,M,3.5,4.21,3.95,4.36,3.52,7.03,8.3,6.5,6.14,3.63,6.51,4.0,5.99,64.13,18.32
