fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
178186,WHU,Bowen,F,11.5,0.0,0.0,4.99,4.53,0.0,0.0,0.0,4.29,0.0,5.22,0.0,3.99,0.0,0.0,0.0,4.0,0.0,0.0,4.19,0.0,4.13,0.0,0.0,4.41,0.0,3.7,0.0,0.0,4.32,47.75,4.15
98747,NEW,Pope,G,7.2,3.83,0.0,0.0,0.0,4.82,0.0,0.0,4.26,0.0,0.0,3.93,3.97,0.0,0.0,4.33,0.0,4.29,0.0,0.0,5.52,0.0,0.0,0.0,4.71,0.0,4.04,0.0,0.0,3.8,47.5,6.6
216094,LIV,Frimpong,D,9.1,0.0,4.5,0.0,0.0,3.99,0.0,4.39,0.0,0.0,0.0,2.9,4.68,0.0,0.0,0.0,4.23,0.0,5.37,0.0,4.27,0.0,0.0,3.97,0.0,0.0,3.72,0.0,0.0,4.91,46.93,5.16
513418,BRE,Schade,M,8.3,0.0,0.0,4.57,0.0,3.96,0.0,3.94,0.0,0.0,0.0,4.13,3.97,0.0,0.0,4.99,0.0,0.0,3.19,0.0,4.22,0.0,0.0,0.0,4.42,0.0,4.33,0.0,0.0,4.24,45.93,5.53
179268,CHE,Cucurella,D,8.0,4.43,0.0,0.0,0.0,6.33,0.0,3.7,0.0,0.0,4.8,0.0,5.11,0.0,0.0,0.0,3.16,0.0,4.2,0.0,3.19,0.0,0.0,4.17,0.0,0.0,2.99,0.0,0.0,3.77,45.87,5.73
83299,BHA,Dunk,D,7.4,4.52,0.0,0.0,0.0,3.9,0.0,5.41,0.0,0.0,0.0,3.89,4.31,0.0,0.0,0.0,4.48,0.0,3.98,0.0,0.0,4.83,0.0,2.04,0.0,0.0,6.02,0.0,0.0,2.29,45.67,6.17
247412,WOL,Strand Larsen,F,8.3,4.54,0.0,0.0,0.0,0.0,4.96,3.89,0.0,0.0,3.71,0.0,4.06,0.0,0.0,0.0,3.78,0.0,4.38,0.0,0.0,0.0,4.15,3.08,0.0,0.0,5.06,0.0,0.0,3.83,45.44,5.47
457569,BOU,Petrović,G,6.8,3.48,0.0,0.0,0.0,0.0,4.81,0.0,3.08,0.0,0.0,3.62,4.58,0.0,0.0,4.62,0.0,4.7,0.0,0.0,3.93,0.0,0.0,0.0,0.0,3.53,5.37,0.0,0.0,3.67,45.39,6.67
451340,BHA,Mitoma,M,9.0,3.13,0.0,0.0,0.0,4.22,0.0,4.73,0.0,0.0,0.0,4.01,4.57,0.0,0.0,0.0,4.06,0.0,4.24,0.0,0.0,4.62,0.0,3.45,0.0,0.0,5.17,0.0,0.0,3.12,45.32,5.04
215059,CHE,Sánchez,G,7.5,4.21,0.0,0.0,0.0,5.14,0.0,3.42,0.0,0.0,4.68,0.0,4.69,0.0,0.0,0.0,3.6,0.0,4.19,0.0,3.5,0.0,0.0,4.54,0.0,0.0,3.21,0.0,0.0,4.11,45.28,6.04
80201,FUL,Leno,G,7.5,3.73,0.0,0.0,0.0,3.26,0.0,4.75,0.0,0.0,4.02,0.0,5.15,0.0,0.0,3.38,0.0,3.62,0.0,0.0,0.0,4.0,0.0,4.8,0.0,0.0,0.0,0.0,4.6,3.92,45.23,6.03
224117,ARS,Gyökeres,F,11.5,4.65,0.0,0.0,0.0,0.0,5.04,5.02,0.0,0.0,5.02,0.0,0.0,4.17,0.0,0.0,3.22,0.0,3.93,0.0,3.37,0.0,0.0,3.88,0.0,0.0,0.0,3.15,0.0,3.63,45.09,3.92
475168,CHE,João Pedro,F,8.8,4.54,0.0,0.0,0.0,5.56,0.0,4.41,0.0,0.0,4.67,0.0,4.59,0.0,0.0,0.0,3.1,0.0,3.74,0.0,3.44,0.0,0.0,3.71,0.0,0.0,3.21,0.0,0.0,3.73,44.7,5.08
430871,MUN,Cunha,F,10.7,0.0,3.62,0.0,0.0,4.18,0.0,4.04,0.0,0.0,4.1,0.0,0.0,0.0,4.08,0.0,3.67,0.0,0.0,4.45,0.0,0.0,4.01,0.0,0.0,4.03,0.0,3.98,0.0,4.17,44.33,4.14
111234,EVE,Pickford,G,7.8,3.05,0.0,0.0,0.0,0.0,4.09,0.0,0.0,4.67,4.61,0.0,0.0,0.0,3.58,3.94,0.0,3.59,0.0,0.0,4.72,0.0,0.0,3.25,0.0,0.0,0.0,3.7,0.0,4.92,44.12,5.66
