fpl_code,team,player,pos,cost,2,3,4,5,6,7,8,9,10,total_pts,ppm
223911,BOU,Mepham,D,4.0,3.36,2.52,3.0,2.64,2.99,3.1,2.37,3.06,1.96,25.0,6.25
202993,TOT,Bentancur,M,5.5,2.65,2.94,2.89,2.74,2.92,2.88,2.75,2.73,2.49,24.99,4.54
209244,MCI,Foden,M,8.0,2.79,3.08,2.98,2.0,3.37,2.75,2.63,2.46,2.93,24.98,3.12
449434,NEW,Elanga,M,7.0,2.79,3.0,3.17,2.59,2.34,2.9,2.5,2.68,2.71,24.68,3.53
210494,WHU,N.Aguerd,D,4.5,2.53,2.79,2.86,2.84,3.01,2.06,2.9,3.07,2.53,24.58,5.46
434752,LEE,Bijol,D,4.0,2.19,2.62,2.71,2.72,2.75,2.72,3.5,3.06,2.25,24.52,6.13
204646,AVL,Malen,M,5.5,3.37,3.3,2.43,3.04,2.5,3.27,2.35,2.29,1.96,24.51,4.46
535818,SUN,Adingra,M,5.5,3.18,2.91,2.61,2.74,2.55,2.55,2.86,2.32,2.74,24.46,4.45
212314,FUL,Lukić,M,5.0,3.04,2.51,3.11,2.89,2.55,2.6,2.39,2.54,2.8,24.44,4.89
91889,WHU,Füllkrug,F,6.0,2.78,2.67,3.14,2.86,2.48,2.09,2.93,2.75,2.71,24.4,4.07
444463,CHE,Fofana,D,4.5,1.6,2.78,2.61,2.7,3.05,2.37,2.94,3.78,2.54,24.36,5.41
169528,FUL,Robinson,D,5.0,0.0,0.75,4.25,3.6,2.98,2.95,3.07,2.72,3.99,24.31,4.86
201595,LEE,Perri,G,4.5,2.18,2.58,2.62,2.77,2.78,2.7,3.3,3.02,2.35,24.3,5.4
184254,TOT,Vicario,G,5.0,2.09,2.83,2.64,2.38,3.14,2.88,2.75,2.88,2.63,24.21,4.84
155408,BOU,Cook,M,5.0,0.0,3.28,3.2,3.0,3.08,3.11,2.91,2.99,2.6,24.19,4.84
158499,BOU,Christie,M,5.0,3.43,2.77,2.78,2.71,2.71,2.59,2.43,2.56,2.18,24.17,4.83
467189,WHU,Hermansen,G,4.5,2.65,2.74,2.68,2.78,2.87,2.16,2.75,2.81,2.54,23.99,5.33
216051,MUN,Dalot,D,4.5,2.55,4.04,1.83,2.37,2.42,3.84,1.66,2.69,2.58,23.98,5.33
